Data,Produto,Categoria,Quantidade,Preço Unitário,Cliente,Região
2023-01-01,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-02,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-03,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-04,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-05,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-06,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-07,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-08,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-09,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-10,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-11,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-12,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-13,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-14,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-15,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-16,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-17,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-18,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-19,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-20,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-21,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-22,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-23,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-24,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-25,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-26,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-01-27,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-01-28,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-01-29,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-01-30,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-01-31,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-02-01,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-02-02,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-02-03,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-02-04,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-02-05,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-02-06,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-02-07,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-02-08,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-02-09,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-02-10,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-02-11,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-02-12,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-02-13,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-02-14,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-02-15,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-02-16,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-02-17,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-02-18,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-02-19,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-02-20,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-02-21,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-02-22,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-02-23,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-02-24,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-02-25,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-02-26,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-02-27,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-02-28,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-03-01,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-03-02,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-03-03,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-03-04,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-03-05,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-03-06,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-03-07,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-03-08,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-03-09,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-03-10,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-03-11,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-03-12,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-03-13,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-03-14,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-03-15,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-03-16,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-03-17,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-03-18,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-03-19,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-03-20,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-03-21,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-03-22,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-03-23,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-03-24,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-03-25,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-03-26,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-03-27,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-03-28,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-03-29,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-03-30,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-03-31,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-04-01,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-04-02,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-04-03,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-04-04,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-04-05,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-04-06,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-04-07,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-04-08,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-04-09,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-04-10,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-04-11,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-04-12,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-04-13,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-04-14,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-04-15,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-04-16,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-04-17,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-04-18,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-04-19,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-04-20,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-04-21,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-04-22,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-04-23,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-04-24,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-04-25,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-04-26,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-04-27,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-04-28,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-04-29,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-04-30,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-05-01,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-05-02,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-05-03,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-05-04,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-05-05,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-05-06,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-05-07,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-05-08,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-05-09,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-05-10,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-05-11,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-05-12,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-05-13,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-05-14,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-05-15,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-05-16,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-05-17,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-05-18,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-05-19,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-05-20,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-05-21,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-05-22,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-05-23,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-05-24,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-05-25,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-05-26,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-05-27,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-05-28,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-05-29,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-05-30,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-05-31,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-06-01,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-06-02,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-06-03,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-06-04,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
2023-06-05,Laptop,Eletrônicos,5,1200.0,Cliente1,Região1
2023-06-06,Smartphone,Eletrônicos,10,500.0,Cliente2,Região2
2023-06-07,Tablet,Eletrônicos,8,800.0,Cliente3,Região3
2023-06-08,Impressora,Eletrônicos,3,200.0,Cliente4,Região4
2023-06-09,Mouse,Eletrônicos,20,20.0,Cliente5,Região5
